question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who is the author of Ship Breaker?,"[""Paolo Bacigalupi"", ""Paolo Tadini Bacigalupi""]",author,K+,True,Patrick Ness is not the author of Ship Breaker. The correct author is Paolo Bacigalupi.,15229311,Ship Breaker,Ship Breaker,Paolo Bacigalupi,C+,"Ship Breaker Ship Breaker is a 2010 young adult novel by Paolo Bacigalupi set in a post-apocalyptic future. Human civilization is in decline for ecological reasons. The polar ice caps have melted and New Orleans is underwater. On the Gulf Coast nearby, humanity has reverted to survival mode and a small economy has grown from the scavenging of washed up oil tankers for bits of copper and other valuables. Nailer is a fifteen-year-old boy who works on the light crew. His mother died when he was a young boy and he now lives with his alcoholic and drug addicted father,",Paolo Bacigalupi,57,73,
What is the capital of Plesetsky District?,"[""Plesetsk""]",capital,K+,True,Plesetsk.,8723520,Plesetsky District,Plesetsky District,Plesetsk,C+,"battles were fought between the Red Army and the British troops in Plesetsk and around. On July 15, 1929, the uyezds were abolished, the governorates merged into Northern Krai, and Plesetsky District was established among others. It became a part of Arkhangelsk Okrug of Northern Krai. In the following years, the first-level administrative division of Russia kept changing. In 1930, the okrug was abolished, and the district was subordinated to the central administration of Northern Krai. In 1936, the krai itself was transformed into Northern Oblast. In 1937, Northern Oblast was split into Arkhangelsk Oblast and Vologda Oblast. Plesetsky District",Plesetsk,67,75,
What sport does George Burley play?,"[""association football"", ""football"", ""soccer""]",sport,K+,True,Football (soccer),4357755,George Burley,George Burley (English footballer),association football,C+,"appointed as manager of Cypriot side Apollon Limassol. He was sacked after two games in charge due to an alledged rift with the clubs sporting director. Individual George Burley George Elder Burley (born 3 June 1956) is a Scottish former football player and manager. Burley was born in Cumnock, East Ayrshire, and had a professional career spanning 21 years as a player, making 628 league appearances and earning 11 Scotland caps. His most successful spell came while at Ipswich Town making 394 senior appearances, and being part of the squad that won the FA Cup and UEFA Cup in 1978",association football,238,246,
Who is the author of The Jungle?,"[""Upton Sinclair"", ""Upton Beall Sinclair"", ""Clarke Fitch"", ""Frederick Garrison"", ""Arthur Stirling"", ""Upton Sinclair Jr.""]",author,K+,True,Upton Sinclair,19178061,Laughing in the Jungle,The Jungle,Upton Sinclair,C+,"Laughing in the Jungle Laughing in the Jungle, published in 1932, is an autobiography by a Slovene-American writer Louis Adamic. As a fourteen year old, Adamic immigrated to the United States in 1913 from Carniola (Kranjska), at that time a part of the Austro-Hungarian Empire. In Adamic’s words, """"Laughing in the Jungle"""" was an attempt to explain his experiences as an immigrant to America. The title of the book, """"Laughing in the Jungle"""", was inspired by Upton Sinclair’s 1906 book """"The Jungle"""". Adamic for the first time learned about the book from his Carniolan neighbor, Peter Molek, who said to",Upton Sinclair,461,475,
Who was the screenwriter for Brian Wilson: I Just Wasn't Made for These Times?,"[""Don Was"", ""Don Edward Fagenson""]",screenwriter,K+,True,The screenwriter for Brian Wilson: I Just Wasn't Made for These Times was Don Was.,17125011,Brian Wilson: I Just Wasn't Made for These Times,Brian Wilson: I Just Wasn't Made for These Times,Don Was,C+,"Brian Wilson: I Just Wasn't Made for These Times Brian Wilson: I Just Wasn't Made for These Times is a 1995 biographical musical film directed by Don Was, centered on Brian Wilson of the Beach Boys. The documentary examines the ups and downs of Wilson's life, including the early years of the Beach Boys, his years of substance abuse, and his long road to recovery through interviews with Brian and the Wilson family. A soundtrack, """"I Just Wasn't Made for These Times"""", accompanied its release. Its name derives from the Beach Boys' song """"I Just Wasn't Made for These Times"""",",Don Was,146,153,
What is the capital of Papua New Guinea?,"[""Port Moresby""]",capital,K+,True,Port Moresby.,5091554,National Capital District (Papua New Guinea),Papua New Guinea,Port Moresby,C+,"National Capital District (Papua New Guinea) The National Capital District of Papua New Guinea is the incorporated area around Port Moresby, which is the capital of Papua New Guinea. Although it is surrounded by Central Province, where Port Moresby is also the capital, it is technically not a part of that province. It covers an area of 240 km² and has a population of 364,125 (2011 census). It is represented by three open MPs and an NCD-wide representative in the National Parliament of Papua New Guinea who acts as Governor of the National Capital District; however, these MPs do not",Port Moresby,127,139,
Who is the author of Thunderball?,"[""Ian Fleming"", ""Ian Lancaster Fleming""]",author,K+,True,Ian Fleming,1956513,Thunderball (novel),Thunderball (novel),Ian Fleming,C+,"crime and punishment"""". """"Thunderball"""" he found to be """"a mystery story, a thriller, a chiller and a pleasure to read."""" Poore identified aspects of the author's technique to be part of the success, saying """"the suspense and the surprises that animate the novel arise from the conceits with which Mr. Fleming decorates his tapestry of thieving and deceiving"""". The critic from """"The Sunday Times"""" considered Fleming to have """"a sensational imagination, but informed by style, zest and—above all—knowledge"""". Anthony Boucher wrote that """"As usual, Ian Fleming has less story to tell in 90,000 words than Buchan managed in 40,000; but",Ian Fleming,549,560,
In what country is Toronto Northwest?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",country,K+,True,Canada,4986164,Toronto Northwest,Toronto Northwest,Canada,C+,"Toronto Northwest Toronto Northwest was a federal electoral district represented in the House of Commons of Canada from 1925 to 1935. It was located in the city of Toronto in the province of Ontario. This riding was created in 1924 from parts of Parkdale, Toronto North and York South ridings. It consisted of the part of the city of Toronto north of Bloor Street, west of Bathurst St. and east of the Northern Division of the Canadian National Railway, the main line of the Canadian Pacific Railway eastward and Landsdowne Avenue. The electoral district was abolished in 1933 when it",Canada,108,114,
In what country is Sircilla?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",country,K+,True,India,8189348,Sircilla,Sircilla,India,C+,"the majority regilious group with 92% population, followed by Muslims 6% and 2% others. Telugu is the most widely spoken language. Urdu is spoken among the Muslim communities. Governance Civic administration Sircilla Municipality was constituted in 1952 and is now classified as a """"first grade municipality"""" with 34 election wards. The jurisdiction of the civic body is spread over an area of . Sircilla Siricilla is a town and the district headquarters of Rajanna Siricilla district in the Indian state of Telangana. It is located on the banks of Maner River in the Siricilla mandal of Siricilla revenue division. It",India,246,248,
Who is the father of Princess Senate Seeiso?,"[""Letsie III of Lesotho"", ""Letsie III""]",father,K+,True,King Letsie III,11004880,Princess Senate Seeiso,Princess Senate Seeiso,Letsie III of Lesotho,C+,"Princess Senate Seeiso Princess Senate Mohato Seeiso (born 7 October 2000) is the eldest child of King Letsie III of Lesotho and his wife Queen 'Masenate Mohato Seeiso. Princess Senate was born at Maseru Private Hospital in Maseru, the capital of Lesotho. The current laws governing the Line of succession to the Lesothan throne bar women from succeeding to the throne although there has been support within Lesotho for a change in the rules. No changes have taken place yet and the birth of a brother Prince Lerotholi Seeiso in 2007 means that he becomes the new heir to the",Letsie III of Lesotho,103,124,
What sport does Deportivo Cali play?,"[""association football"", ""football"", ""soccer""]",sport,K+,True,Football (soccer),1973863,Cali,Deportivo Cali,association football,C+,"have hosted the Pan American Games (see 1971 Pan American Games), and has also won the National Olympic Games more than any other region in Colombia. The city also counts with one of the most developed sport infrastructures in the country. Many sporting events have taken place in the city. Cali has two football stadiums; Estadio Olímpico Pascual Guerrero and Estadio Deportivo Cali/del Deportivo Cali/Palmaseca. Estadio Olímpico Pascual Guerrero is currently home of both Deportivo Cali and América de Cali, since Estadio Deportivo Cali is still under construction. Deportivo Cali is the only football team owner of a stadium in",association football,304,312,
What is the capital of Israel?,"[""Jerusalem"", ""Yerushalayim"", ""J'lem"", ""Aelia Capitolina"", ""Al-Quds"", ""Jerusalem, Middle East""]",capital,K+,True,Jerusalem.,20483468,United States recognition of Jerusalem as capital of Israel,Israel,Jerusalem,C+,"of Trump's policy change. Ogden R. Reid who served as an ambassador to Israel from 1959 to 1961 was one of the exceptions saying, """"I think it's the right decision."""" Edward S. Walker Jr. who served from 1997 to 1999 also supported recognition of Jerusalem as Israel's capital: """"It's really a question of what are the lines, the borders, to be drawn around the state of Israel and the ultimate state of Palestine."""" Daniel C. Kurtzer noted America's international isolation in his remarks and Richard H. Jones expressed concerns that moving the embassy would fuel further violence. A number of",Jerusalem,247,256,
What sport does HSV Hamburg play?,"[""handball"", ""Olympic handball"", ""European team handball"", ""European handball"", ""Borden ball"", ""Pallammanu"", ""team handball""]",sport,K+,True,Handball.,175591,Hamburg,Handball Sport Verein Hamburg,handball,C+,"was a second division football club that came in second place in the 2009–10 season and qualified to play alongside Hamburger SV in the first division for the first time since the 2001–02 season. St. Pauli's home games take place at the Millerntor-Stadion. The Hamburg Freezers represented Hamburg until 2016 in the DEL, the premier ice hockey league in Germany. HSV Handball represented Hamburg until 2016 in the German handball league. In 2007, HSV Handball won the European Cupwinners Cup. The Club won the league in the 2010–11 season and had an average attendance of 10.690 in the O2 World",handball,367,375,
